Inventory_ID,Inventory_UPC,Supplier_ID,Supplier_Input_Date,Supplier_Name,Supplier_Price,Inventory_Qty,Inventory_Who_Created,Inventory_When_Created,Supplier_Invoice_No,VENDOR,IMPORT_ID,LAST_INVENTORY_QTY
1,070129121149,,12/1/2011,SALE,25.00,-2,,,6100,,,-27
2,070130151559,,12/1/2011,SALE,42.00,-1,,,0100,,,-3
3,071008114339,,12/1/2011,SALE,35.00,-1,,,0100,,,-36
4,070129151429,,12/1/2011,SALE,22.00,-3,,,0100,,,-119
5,070423092559,,12/2/2011,SALE,22.00,-1,,,5488,,,-29
6,070423092559,,12/2/2011,SALE,22.00,-1,,,3565,,,-30
7,100917130509,,12/2/2011,SALE,32.00,-1,,,3565,,,-1
8,071219103209,,12/2/2011,SALE,7.00,-1,,,5488,,,-5
9,080829100449,,12/2/2011,SALE,10.00,-3,,,0100,,,-161
10,081220155739,,12/2/2011,SALE,45.00,-1,,,0100,,,-4
11,071008114339,,12/2/2011,SALE,35.00,-1,,,0100,,,-37
12,081219114749,,12/3/2011,SALE,18.00,-1,,,4767,,,-23
13,080829100449,,12/3/2011,SALE,11.00,-5,,,0100,,,-166
14,070129121149,,12/3/2011,SALE,25.00,-2,,,9005,,,-29
15,070423092559,,12/4/2011,SALE,22.00,-1,,,5488,,,-31
16,111121114959,,12/4/2011,SALE,40.00,-1,,,5488,,,-2
17,070129121149,,12/5/2011,SALE,25.00,-2,,,0430,,,-31
18,081219114749,,12/5/2011,SALE,28.00,-2,,,0430,,,-25
19,070129151429,,12/5/2011,SALE,22.00,-2,,,0100,,,-121
20,070423092559,,12/5/2011,SALE,22.00,-1,,,0100,,,-32
21,070129121149,,12/5/2011,SALE,25.00,-4,,,0430,,,-35
22,111123123129,,12/5/2011,SALE,81.68,-10,,,1950,,,-65
23,071219103209,,12/5/2011,SALE,25.00,-1,,,3565,,,-6
24,081219114749,,12/6/2011,SALE,28.00,-1,,,9093,,,-26
25,070129151429,,12/6/2011,SALE,22.00,-2,,,0100,,,-123
26,071008114339,,12/6/2011,SALE,35.00,-1,,,0100,,,-38
27,070421145519,,12/7/2011,SALE,75.00,-1,,,8668,,,-1
28,070423092559,,12/7/2011,SALE,19.50,-30,,,5201,,,-62
29,071219103209,,12/7/2011,SALE,33.00,-1,,,5488,,,-7
30,111121114959,,12/7/2011,SALE,40.00,-1,,,2220,,,-3
31,070423092559,,12/8/2011,SALE,19.00,-300,,,1570,,,-362
32,111123123129,,12/8/2011,SALE,85.89,-2,,,2721,,,-67
33,070423092559,,12/8/2011,SALE,0.00,-200,,,0877,,,-562
34,070423092559,,12/8/2011,SALE,24.00,-2,,,0100,,,-564
35,070423092559,,12/8/2011,SALE,20.00,-5,,,9292,,,-569
36,070129121149,,12/8/2011,SALE,26.00,-3,,,6100,,,-38
37,070423092559,,12/8/2011,SALE,20.00,-10,,,6100,,,-579
38,110108090739,,12/9/2011,SALE,49.00,-98,,,8882,,,-1397
39,071008114339,,12/9/2011,SALE,35.00,-1,,,0808,,,-39
40,111123123129,,12/9/2011,SALE,0.00,-30,,,9370,,,-97
41,081219114749,,12/9/2011,SALE,28.00,-1,,,9093,,,-27
42,071008114339,,12/9/2011,SALE,35.00,-1,,,0100,,,-40
43,111123123129,,12/9/2011,SALE,90.00,-1,,,0100,,,-98
44,070129151429,,12/9/2011,SALE,22.00,-3,,,0100,,,-126
45,111121114959,,12/9/2011,SALE,40.00,-1,,,5488,,,-4
46,070423092559,,12/10/2011,SALE,20.00,-3,,,9977,,,-582
47,070423092559,,12/10/2011,SALE,20.00,-3,,,9005,,,-585
48,080517152709,,12/10/2011,SALE,26.00,-3,,,9005,,,-9
49,070129121149,,12/10/2011,SALE,25.00,-2,,,0430,,,-40
50,070130151559,,12/10/2011,SALE,42.00,-1,,,0100,,,-4
51,070423092559,,12/10/2011,SALE,19.50,-30,,,5201,,,-615
52,111123123129,,12/12/2011,SALE,88.00,-2,,,2721,,,-100
